id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;3977.0;3976.8;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;1;1;1;1832.7;1832.5;"SelectionParameter: contenu des filtres/valeurs"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;1549.5;1549.3;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1233.7;1233.5;"SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;1482.5;1482.2;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;1;0;0;1549.6;1549.3;"SelectionParameter: horodatages seuls"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4042.1;4034.4;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1112.2;1112.0;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1516.2;1516.0;"SelectionParameter: contenu des filtres/valeurs"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1448.4;1448.1;"SelectionParameter: contenu des filtres/valeurs"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1879.6;1879.2;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1617.2;1616.8;"SelectionParameter: contenu des filtres/valeurs"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1683.2;1682.9;"SelectionParameter: contenu des filtres/valeurs"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;367.5;367.3;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;281.4;281.1;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;330.5;330.2;""
FR-11;fr;déictique;executed;executed;1;1;1;1;1;1;1;1;1401.4;1401.2;"SelectionParameter: contenu des filtres/valeurs"
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1598.0;1597.7;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1082.3;1082.0;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;1581.6;1581.3;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;0;1;1;0;1;1;0;1599.3;1599.0;"type: attendu [ScaleUpCommand] produit [MoveCommand] | PointParameter en trop"
FR-16;fr;déictique;executed;clarification;0;1;0;0;0;0;0;0;315.7;315.3;""
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1281.6;1281.3;"SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1000.4;1000.0;"SelectionParameter: horodatages seuls"
FR-19;fr;anaphorique;executed;executed;1;0;0;1;1;0;1;1;666.6;666.3;"type: attendu [ScaleUpCommand] produit [SpeechCommand] | SelectionParameter manquant | SentenceParameter en trop"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1015.8;1015.5;"SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;1632.9;1632.6;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1116.3;1116.1;"SelectionParameter: contenu des filtres/valeurs"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1850.1;1849.8;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1147.5;1147.2;"SelectionParameter: contenu des filtres/valeurs"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;1581.5;1581.2;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;executed;0;0;0;1;1;0;1;1;715.9;715.0;"type: attendu [MoveCommand] produit [SpeechCommand] | SelectionParameter manquant | SentenceParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;215.2;214.9;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;218.0;217.7;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;1600.0;1599.7;"SelectionParameter: horodatages seuls"
