id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;2568.4;2568.2;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;1;1;1;1833.3;1833.0;"SelectionParameter: contenu des filtres/valeurs"
EN-03;en;déictique;executed;executed;1;1;1;1;1;2;0;0;1366.4;1366.2;"SelectionParameter: horodatages seuls"
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;1382.5;1382.3;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;1467.6;1467.2;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;executed;0;0;0;3;1;1;2;0;2049.4;2049.2;"type: attendu [ColorizeCommand] produit [ColorizeCommand,SpeechCommand] | SelectionParameter: horodatages seuls | ColorParameter en trop | SentenceParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2758.9;2749.2;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;993.9;993.7;"SelectionParameter: contenu des filtres/valeurs"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1381.8;1381.6;"SelectionParameter: contenu des filtres/valeurs"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1914.2;1913.9;"SelectionParameter: contenu des filtres/valeurs"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1914.9;1914.7;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1414.9;1414.8;"SelectionParameter: contenu des filtres/valeurs"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1485.6;1485.2;"SelectionParameter: contenu des filtres/valeurs"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;313.9;313.8;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;282.3;282.2;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;283.0;282.8;""
FR-11;fr;déictique;executed;executed;1;1;1;1;1;1;1;1;1480.8;1480.6;"SelectionParameter: contenu des filtres/valeurs"
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1399.6;1399.4;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;932.8;932.6;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;1379.6;1379.4;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;0;2;1;1;1;0;1402.5;1402.2;"SelectionParameter: horodatages seuls | PointParameter en trop"
FR-16;fr;déictique;executed;clarification;0;1;0;1;0;0;1;0;448.5;448.3;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;1448.6;1448.4;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;932.2;932.0;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;949.7;949.5;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;950.1;950.0;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;1;1;1;1468.0;1467.8;"SelectionParameter: contenu des filtres/valeurs"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;997.5;997.3;"SelectionParameter: contenu des filtres/valeurs"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1497.2;1497.1;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1382.3;1382.0;"SelectionParameter: contenu des filtres/valeurs"
FR-25;fr;clarification;clarification;executed;0;0;0;3;1;1;2;0;2083.8;2083.6;"type: attendu [ColorizeCommand] produit [ColorizeCommand,SpeechCommand] | SelectionParameter: horodatages seuls | ColorParameter en trop | SentenceParameter en trop"
FR-26;fr;clarification;clarification;executed;0;0;0;1;1;0;1;1;580.2;580.0;"type: attendu [MoveCommand] produit [SpeechCommand] | SelectionParameter manquant | SentenceParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;182.2;181.9;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;167.5;167.3;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;1414.7;1414.5;"SelectionParameter: horodatages seuls"
