id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;5800.9;5800.6;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;1;1;1;2918.6;2918.3;"SelectionParameter: contenu des filtres/valeurs"
EN-03;en;déictique;executed;executed;1;1;1;1;1;1;1;1;2749.5;2749.1;"SelectionParameter: contenu des filtres/valeurs"
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;2815.5;2815.2;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;2916.4;2916.1;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;executed;0;0;0;3;1;1;2;0;3851.4;3851.0;"type: attendu [ColorizeCommand] produit [ColorizeCommand,SpeechCommand] | SelectionParameter: horodatages seuls | ColorParameter en trop | SentenceParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;6106.6;6096.7;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1960.9;1960.6;"SelectionParameter: contenu des filtres/valeurs"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;2732.3;2732.0;"SelectionParameter: contenu des filtres/valeurs"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;3778.7;3778.4;"SelectionParameter: contenu des filtres/valeurs"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;3766.8;3766.5;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2818.0;2817.7;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2880.8;2880.5;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;666.1;665.9;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;732.5;732.3;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;565.7;565.5;""
FR-11;fr;déictique;executed;executed;1;1;1;1;1;1;1;1;3695.2;3694.9;"SelectionParameter: contenu des filtres/valeurs"
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;2735.5;2735.1;""
FR-13;fr;déictique;executed;executed;1;1;0;1;2;0;1;2;1965.1;1964.9;"SelectionParameter: contenu des filtres/valeurs | PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;0;1;1;2714.6;2714.4;"SelectionParameter: ordre des filtres (+ horodatages)"
FR-15;fr;déictique;executed;executed;1;0;0;3;1;0;3;1;4401.1;4400.9;"type: attendu [ScaleUpCommand] produit [ScaleUpCommand,MoveCommand] | SelectionParameter: contenu des filtres/valeurs | SelectionParameter en trop | PointParameter en trop"
FR-16;fr;déictique;executed;clarification;0;1;0;1;0;0;1;0;1146.4;1146.2;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;2864.4;2864.2;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1886.0;1885.8;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1914.2;1914.0;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1918.0;1917.8;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;1;1;1;3631.4;3631.2;"SelectionParameter: contenu des filtres/valeurs"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1915.5;1915.3;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;2966.5;2966.3;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;2713.7;2713.5;"SelectionParameter: contenu des filtres/valeurs"
FR-25;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;3017.6;3017.4;"SelectionParameter: ordre des filtres (+ horodatages) | ColorParameter en trop"
FR-26;fr;clarification;clarification;executed;0;0;0;1;1;0;1;1;1232.4;1231.7;"type: attendu [MoveCommand] produit [SpeechCommand] | SelectionParameter manquant | SentenceParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;332.1;331.9;"JSON produit non désérialisable"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;329.9;329.7;"JSON produit non désérialisable"
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;2750.7;2750.5;"SelectionParameter: horodatages seuls"
