id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;0;1;1;101853.7;101853.4;"SelectionParameter: contenu des filtres/valeurs"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;1;1;1;85400.4;85400.1;"SelectionParameter: contenu des filtres/valeurs"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;109733.7;109733.5;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;90694.1;90693.8;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;107903.7;107903.5;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;executed;0;1;0;2;1;1;1;0;104349.4;104349.1;"SelectionParameter: horodatages seuls | ColorParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;3505.2;3494.7;"SelectionParameter: contenu des filtres/valeurs"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1287.7;1287.4;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;1;0;0;1;0;0;1291.7;1291.5;""
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1582.2;1582.0;"SelectionParameter: contenu des filtres/valeurs"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1624.8;1624.6;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1274.4;1274.2;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1398.1;1397.9;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;clarification;0;0;0;1;0;0;1;0;700.8;700.5;"type: attendu [SelectAllCommand] produit [SelectCommand] | SelectionParameter en trop"
FR-09;fr;descriptif;executed;executed;1;1;0;1;0;0;1;0;2396.1;2395.9;"SelectionParameter en trop"
FR-10;fr;descriptif;executed;executed;1;1;0;1;0;0;1;0;2630.8;2630.6;"SelectionParameter en trop"
FR-11;fr;déictique;executed;executed;1;1;1;1;1;2;0;0;6681.2;6681.0;"SelectionParameter: horodatages seuls"
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;8052.8;8052.6;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;5182.7;5182.3;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;6453.1;6452.8;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;1;0;0;1;0;0;5473.8;5473.3;""
FR-16;fr;déictique;executed;clarification;0;1;0;1;0;0;1;0;2606.9;2606.7;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;10645.5;10644.5;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;5300.8;5300.6;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;5362.3;5362.1;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;7932.4;7932.2;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;1;1;1;14404.1;14403.9;"SelectionParameter: contenu des filtres/valeurs"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;9795.6;9795.4;"SelectionParameter: contenu des filtres/valeurs"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;19001.5;19001.2;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;44718.7;44718.4;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;executed;0;1;0;2;1;1;1;0;72465.8;72465.6;"SelectionParameter: horodatages seuls | ColorParameter en trop"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;86618.5;86618.2;"SelectionParameter: contenu des filtres/valeurs | PointParameter en trop"
FR-27;fr;rejet;not_understood;executed;0;0;0;1;0;0;1;0;32911.0;32910.8;"type: attendu [] produit [SpeechCommand] | SentenceParameter en trop"
FR-28;fr;rejet;not_understood;executed;0;0;0;1;0;0;1;0;10971.8;10971.4;"type: attendu [] produit [SpeechCommand] | SentenceParameter en trop"
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;0;1;1;52226.3;52225.8;"SelectionParameter: contenu des filtres/valeurs"
