id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;3505.1;3504.9;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;3499.3;3499.0;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;3432.9;3432.7;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;2048.2;2048.0;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;1619.5;1619.3;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;executed;0;1;0;2;1;0;2;1;2248.0;2247.8;"SelectionParameter: contenu des filtres/valeurs | ColorParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;1;0;0;1;0;0;3891.4;3883.9;""
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2897.8;2897.6;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;1;0;0;1;0;0;1414.5;1414.3;""
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;2132.0;2131.8;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;2710.4;2710.2;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2020.3;2020.1;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2098.5;2098.3;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;416.3;416.1;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;364.1;363.9;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;366.7;366.5;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;2099.7;2099.5;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;2016.1;2015.9;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1362.8;1362.6;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;1966.5;1966.3;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;0;2;1;1;1;0;2014.9;2014.7;"SelectionParameter: horodatages seuls | PointParameter en trop"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;1331.6;1331.4;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;clarification;0;1;1;1;1;1;1;1;1533.2;1533.0;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1382.5;1382.2;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1400.3;1400.1;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;980.2;980.0;"SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;2;0;0;2;0;0;2084.7;2084.5;""
FR-22;fr;quantifié;executed;executed;1;1;1;0;0;1;0;0;1430.6;1430.4;""
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1552.8;1552.5;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;1;0;0;1;0;0;1412.0;1411.8;""
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;1967.5;1967.3;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;clarification;1;1;0;1;1;0;1;1;1398.4;1398.2;"SelectionParameter: limit (+ horodatages ?)"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;265.4;265.2;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;251.6;251.4;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;2031.3;2031.1;"SelectionParameter: horodatages seuls"
