id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;4874.5;4874.2;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;1864.0;1863.7;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;2100.2;2100.0;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;1719.4;1719.1;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;2249.4;2249.1;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;1;0;0;2066.1;2065.9;"SelectionParameter: horodatages seuls"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;5091.7;5084.0;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;1;0;0;1;0;0;1591.0;1590.7;""
FR-03;fr;descriptif;executed;executed;1;1;1;0;0;1;0;0;1453.0;1452.7;""
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;1832.8;1832.5;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;2446.3;2446.0;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2067.3;2067.0;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2149.6;2149.4;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;431.8;431.5;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;383.4;383.1;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;398.0;397.7;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1782.4;1782.2;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;2063.3;2063.0;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1383.2;1382.9;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;1;0;0;1;0;0;2016.5;2016.3;""
FR-15;fr;déictique;executed;executed;1;1;0;2;1;1;1;0;2068.1;2067.8;"SelectionParameter: horodatages seuls | PointParameter en trop"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;1279.2;1278.8;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;2;0;0;2;0;0;1715.6;1715.4;""
FR-18;fr;anaphorique;executed;executed;1;1;1;0;0;1;0;0;1316.3;1316.0;""
FR-19;fr;anaphorique;executed;clarification;0;1;0;1;1;0;1;1;868.2;868.0;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;1;0;0;1;0;0;1313.9;1313.6;""
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;2134.4;2134.2;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;1;0;0;1;0;0;1466.8;1466.5;""
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;2523.9;2523.7;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1456.1;1455.8;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;2031.7;2031.4;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;clarification;1;1;0;1;1;0;1;1;1451.1;1450.8;"SelectionParameter: limit (+ horodatages ?)"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;281.0;280.8;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;267.3;266.9;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;2083.4;2083.1;"SelectionParameter: horodatages seuls"
