id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;8862.1;8861.9;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;8748.5;8748.3;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;8683.5;8683.3;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;4734.3;4734.1;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;3866.6;3866.4;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;clarification;1;1;0;2;1;0;2;1;4749.0;4748.8;"SelectionParameter: contenu des filtres/valeurs | PointParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;7110.0;7102.4;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;5926.3;5926.1;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2950.6;2950.4;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;4314.0;4313.9;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;5465.8;5465.6;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4330.8;4330.6;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4349.8;4349.6;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1163.8;1163.6;""
FR-09;fr;descriptif;executed;executed;1;1;0;1;0;0;1;0;1083.8;1083.6;"SelectionParameter en trop"
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1097.8;1097.6;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;4349.7;4349.5;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;4000.1;3999.9;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;2997.5;2997.3;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;0;1;1;4316.9;4316.7;"SelectionParameter: contenu des filtres/valeurs"
FR-15;fr;déictique;executed;executed;1;1;1;1;0;1;1;0;4764.8;4764.6;"PointParameter en trop"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;3366.0;3365.8;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;5031.8;5031.6;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;3500.9;3500.7;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;3564.8;3564.7;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;3515.7;3515.5;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;2;0;0;2;0;0;5150.8;5150.6;""
FR-22;fr;quantifié;executed;executed;1;1;1;0;0;1;0;0;4232.8;4232.6;""
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;3900.4;3900.1;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;1;0;0;1;0;0;3597.6;3597.4;""
FR-25;fr;clarification;clarification;not_understood;0;0;0;0;1;0;0;1;1715.8;1715.6;"type: attendu [ColorizeCommand] produit [] | SelectionParameter manquant"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;4731.4;4731.2;"SelectionParameter: limit (+ horodatages ?) | PointParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;1233.2;1233.0;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;1217.3;1217.1;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;4948.9;4948.7;"SelectionParameter: horodatages seuls"
