id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;0;1;1;2562.6;2562.3;"SelectionParameter: contenu des filtres/valeurs"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;1;1;1;1928.1;1927.5;"SelectionParameter: contenu des filtres/valeurs"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;1753.3;1752.6;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1813.0;1812.4;"SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;1;0;0;2235.7;2235.1;"SelectionParameter: horodatages seuls"
EN-06;en;clarification;clarification;executed;0;1;0;2;1;0;2;1;2031.8;2031.1;"SelectionParameter: contenu des filtres/valeurs | ColorParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;2256.1;2246.6;"SelectionParameter: limit (+ horodatages ?)"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1255.1;1254.5;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1172.9;1172.2;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;1504.7;1500.5;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1782.6;1781.5;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1898.8;1898.3;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1600.0;1599.3;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;clarification;0;0;0;1;0;0;1;0;1896.0;1895.5;"type: attendu [SelectAllCommand] produit [SelectCommand] | SelectionParameter en trop"
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;2122.0;2121.3;""
FR-10;fr;descriptif;executed;not_understood;0;0;0;0;0;0;0;0;1106.5;1105.6;"type: attendu [RedoCommand] produit [Unknown]"
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1293.6;1292.5;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1594.0;1593.1;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1435.9;1435.3;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;0;1;1;1414.7;1413.4;"SelectionParameter: contenu des filtres/valeurs"
FR-15;fr;déictique;executed;executed;1;0;1;1;0;1;1;0;1664.8;1663.5;"type: attendu [ScaleUpCommand] produit [MoveCommand] | PointParameter en trop"
FR-16;fr;déictique;executed;clarification;0;1;0;1;0;0;1;0;762.2;761.4;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1761.0;1759.9;"SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;not_understood;0;0;0;0;1;0;0;1;1933.4;1932.4;"type: attendu [HideCommand] produit [Unknown,Unknown] | SelectionParameter manquant"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1465.0;1456.1;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1277.5;1271.5;"SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;1614.1;1609.0;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1621.2;1618.0;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;1;0;0;1;0;0;1812.5;1811.2;""
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1319.1;1318.6;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;1610.6;1610.0;"SelectionParameter: contenu des filtres/valeurs | ColorParameter en trop"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;1723.8;1723.3;"SelectionParameter: contenu des filtres/valeurs | PointParameter en trop"
FR-27;fr;rejet;not_understood;executed;0;0;0;1;0;0;1;0;2026.5;2025.7;"type: attendu [] produit [SpeechCommand] | SentenceParameter en trop"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;2044.5;2043.9;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;0;1;1;2239.1;2238.4;"SelectionParameter: limit (+ horodatages ?)"
