id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;0;1;1;1817.2;1816.9;"SelectionParameter: contenu des filtres/valeurs"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;1843.8;1843.4;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;1520.0;1519.7;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1445.1;1444.8;"SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;1;0;0;1874.5;1874.3;"SelectionParameter: horodatages seuls"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;0;1;1;1342.9;1342.6;"SelectionParameter: contenu des filtres/valeurs"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2101.4;2093.2;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1052.3;1052.1;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1239.7;1239.4;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;1335.9;1335.6;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1567.3;1567.0;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1512.8;1512.5;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1521.5;1521.2;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;688.7;686.5;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;929.4;929.1;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;711.0;710.7;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1256.2;1256.0;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1640.4;1640.1;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1554.2;1553.5;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;0;1;1;1256.9;1256.6;"SelectionParameter: contenu des filtres/valeurs"
FR-15;fr;déictique;executed;executed;1;1;1;1;0;1;1;0;1733.7;1733.5;"PointParameter en trop"
FR-16;fr;déictique;executed;clarification;0;1;0;1;0;0;1;0;1032.7;1032.4;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1329.6;1329.2;"SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1236.6;1236.3;"SelectionParameter: horodatages seuls"
FR-19;fr;anaphorique;executed;not_understood;0;0;0;0;1;0;0;1;1006.6;1006.3;"type: attendu [ScaleUpCommand] produit [Unknown,Unknown] | SelectionParameter manquant"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1217.9;1217.6;"SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;1472.0;1471.6;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1151.4;1151.1;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1754.1;1753.7;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1129.7;1129.4;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;1598.6;1598.3;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;2043.7;2043.4;"SelectionParameter: contenu des filtres/valeurs | PointParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;802.0;801.7;"JSON produit non désérialisable"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;579.1;578.9;"JSON produit non désérialisable"
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;1640.1;1639.8;"SelectionParameter: horodatages seuls"
