id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;1;0;0;1;0;0;1756.6;1756.4;""
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;1992.3;1992.1;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;1737.5;1737.3;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1447.0;1446.8;"SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;1755.2;1754.9;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;executed;0;1;0;2;1;0;2;1;1750.0;1749.8;"SelectionParameter: contenu des filtres/valeurs | ColorParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1824.6;1817.4;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1437.8;1437.0;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1337.4;1337.3;"SelectionParameter: contenu des filtres/valeurs"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;2224.9;2224.7;"SelectionParameter: contenu des filtres/valeurs"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;2860.9;2860.6;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1553.3;1553.0;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;0;0;2;1;0;2;1;2347.5;2347.3;"type: attendu [ShowCommand] produit [ShowCommand,ShowCommand] | SelectionParameter: contenu des filtres/valeurs | SelectionParameter en trop"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;903.1;902.9;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;3964.4;3964.1;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;739.6;739.3;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1807.2;1807.0;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1752.7;1752.5;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1166.3;1166.1;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;0;1;1;1271.6;1271.3;"SelectionParameter: contenu des filtres/valeurs"
FR-15;fr;déictique;executed;executed;1;1;1;1;0;1;1;0;1624.0;1623.7;"PointParameter en trop"
FR-16;fr;déictique;executed;not_understood;0;0;0;0;0;0;0;0;536.4;536.2;"type: attendu [ReleaseCommand] produit []"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;1712.3;1712.1;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1058.0;1057.6;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;not_understood;0;0;0;0;1;0;0;1;577.8;577.7;"type: attendu [ScaleUpCommand] produit [] | SelectionParameter manquant"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1171.4;1171.2;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;1508.9;1508.7;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1110.6;1110.4;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;2018.9;2018.6;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1121.2;1121.0;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;1538.2;1537.9;"SelectionParameter: contenu des filtres/valeurs | ColorParameter en trop"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;1;1;0;1483.5;1483.3;"SelectionParameter: horodatages seuls | PointParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;518.5;518.3;"JSON produit non désérialisable"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;451.3;451.1;"JSON produit non désérialisable"
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;1594.5;1594.3;"SelectionParameter: horodatages seuls"
