id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;4405.1;4404.2;"2 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;1668.0;1667.1;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;1975.7;1975.0;"1 relance(s) après 429 (rate limit)"
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1301.4;1300.4;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;1;0;0;1470.5;1469.7;"SelectionParameter: horodatages seuls"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;1;0;0;1340.1;1339.3;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4717.3;4706.7;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1102.0;1101.4;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1043.8;1042.4;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;1139.3;1138.2;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1599.7;1598.7;"1 relance(s) après 429 (rate limit) | SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1472.8;1471.8;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1909.3;1908.5;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;672.4;671.5;"1 relance(s) après 429 (rate limit)"
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;645.5;644.9;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1042.8;1042.2;"2 relance(s) après 429 (rate limit)"
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1374.1;1373.4;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1776.4;1775.6;"1 relance(s) après 429 (rate limit)"
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1601.8;1600.6;"1 relance(s) après 429 (rate limit) | PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;1513.8;1512.8;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;1;0;0;1;0;0;1318.2;1317.2;"1 relance(s) après 429 (rate limit)"
FR-16;fr;déictique;executed;clarification;0;1;0;0;0;0;0;0;759.2;758.3;"1 relance(s) après 429 (rate limit)"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1222.9;1222.0;"SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;962.0;961.1;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1316.2;1315.3;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;952.6;951.9;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;1521.5;1521.0;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1377.1;1376.1;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1634.9;1634.0;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1035.9;1035.2;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;1382.5;1381.4;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;1809.9;1808.9;"1 relance(s) après 429 (rate limit) | SelectionParameter: limit (+ horodatages ?) | PointParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;501.7;500.8;"1 relance(s) après 429 (rate limit) | JSON produit non désérialisable"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;607.9;607.4;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;1155.9;1155.1;"SelectionParameter: horodatages seuls"
