id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;2719.1;2718.7;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;1391.6;1391.3;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;1658.3;1658.0;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1268.6;1268.3;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;1;0;0;1532.5;1532.2;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;1;0;0;2226.4;2226.0;"SelectionParameter: horodatages seuls"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4047.7;4040.1;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1635.5;1635.2;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2138.8;2138.5;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;1913.9;1913.6;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;2341.2;2340.8;"1 relance(s) après 429 (rate limit) | SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1523.7;1523.4;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1660.2;1659.9;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;912.5;912.2;"1 relance(s) après 429 (rate limit)"
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;950.8;950.4;"1 relance(s) après 429 (rate limit)"
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1608.7;1608.5;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1765.4;1765.1;"1 relance(s) après 429 (rate limit)"
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;6785.1;6784.7;"1 relance(s) après 429 (rate limit)"
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;7624.0;7623.8;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;1516.7;1516.4;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;1;1;0;1;1;0;1560.2;1559.9;"PointParameter en trop"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;1193.0;1192.6;"1 relance(s) après 429 (rate limit) | SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;1870.0;1869.7;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1720.7;1720.5;"SelectionParameter: horodatages seuls"
FR-19;fr;anaphorique;executed;not_understood;0;0;0;0;1;0;0;1;686.9;686.6;"1 relance(s) après 429 (rate limit) | type: attendu [ScaleUpCommand] produit [] | SelectionParameter manquant"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;1613.1;1612.8;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;1708.5;1708.3;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1883.2;1882.9;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1773.8;1773.4;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1301.8;1301.4;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;2116.0;2115.8;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;0;2;1;1850.4;1849.4;"1 relance(s) après 429 (rate limit) | SelectionParameter: limit (+ horodatages ?) | PointParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;578.2;577.9;"1 relance(s) après 429 (rate limit) | JSON produit non désérialisable"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;905.6;905.3;"JSON produit non désérialisable"
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;1610.3;1610.0;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
