id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;1501.3;1501.0;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;1667.2;1666.9;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;1669.2;1669.0;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;2176.4;2176.2;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;3485.2;3484.8;"1 relance(s) après 429 (rate limit) | SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;0;1;1;2809.7;2809.5;"SelectionParameter: contenu des filtres/valeurs"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2288.6;2281.0;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1426.0;1425.8;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1295.2;1294.9;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;1935.2;1935.1;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;2330.4;2330.1;"1 relance(s) après 429 (rate limit) | SelectionParameter: limit + ordre des filtres"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;1749.1;1748.9;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4189.8;4189.5;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1236.8;1236.6;"1 relance(s) après 429 (rate limit)"
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1960.5;1960.3;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1918.1;1917.9;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;2131.4;2131.2;"1 relance(s) après 429 (rate limit)"
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1965.5;1965.3;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;1183.0;1182.8;"1 relance(s) après 429 (rate limit) | PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;1819.7;1819.5;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;1;1;0;1;1;0;1809.8;1809.6;"PointParameter en trop"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;1427.2;1426.7;"1 relance(s) après 429 (rate limit) | SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;4952.4;4952.2;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1497.5;1497.3;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1593.3;1593.0;"1 relance(s) après 429 (rate limit) | SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;1547.7;1547.5;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;3181.6;3181.3;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;2213.6;2213.4;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1370.6;1370.4;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;1479.3;1479.0;"1 relance(s) après 429 (rate limit) | SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;2381.6;2381.4;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;clarification;1;1;0;1;1;0;1;1;1532.8;1532.6;"SelectionParameter: limit (+ horodatages ?)"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;1060.2;1060.0;"1 relance(s) après 429 (rate limit) | JSON produit non désérialisable"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;575.5;575.3;"JSON produit non désérialisable"
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;2722.8;2722.6;"SelectionParameter: horodatages seuls"
