id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;3.8;;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;3.1;;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;1;1;1;2;0;0;2.3;;"SelectionParameter: horodatages seuls"
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;3.7;;"SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;1;0;0;3.1;;"SelectionParameter: horodatages seuls"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;1;0;0;2.7;;"SelectionParameter: horodatages seuls"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;38.1;;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4.2;;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;3.3;;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;11.6;;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;3.9;;"SelectionParameter: limit (+ horodatages ?)"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;6.5;;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;6.8;;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;5.9;;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;6.5;;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;5.5;;""
FR-11;fr;déictique;executed;executed;1;1;1;1;1;2;0;0;4.9;;"SelectionParameter: horodatages seuls"
FR-12;fr;déictique;executed;executed;1;1;1;1;1;2;0;0;7.6;;"SelectionParameter: horodatages seuls"
FR-13;fr;déictique;executed;executed;1;1;0;2;2;2;0;0;6.4;;"SelectionParameter: horodatages seuls | PointParameter: horodatages seuls"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;14.2;;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;26.4;;"SelectionParameter: horodatages seuls"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;19.7;;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;12.9;;"SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;35.0;;"SelectionParameter: horodatages seuls"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;3.6;;"SelectionParameter: horodatages seuls"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;3.2;;"SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;3.4;;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;3.4;;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;5.1;;"SelectionParameter: horodatages seuls"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;4.7;;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;3.7;;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;clarification;1;1;0;1;1;0;1;1;3.3;;"SelectionParameter: limit (+ horodatages ?)"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;2.3;;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;2.4;;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;3.7;;"SelectionParameter: horodatages seuls"
