config;date;exactitude_type;param_corrects_stricts;param_corrects_sans_ts;param_total;param_precision;param_rappel;param_f1;param_f1_sans_ts;param_f1_sans_ts_non_ordonne;clarif_legitimes;clarif_a_tort;clarif_manquees;exactitude_issue;latence_mediane_ms;latence_http_mediane_ms;erreurs;cas
llm_Qwen3-4B-Instruct;2026-07-30 17:37;0.914;14;22;39;0.298;0.359;0.326;0.512;0.512;0;2;3;0.800;7932.4;7932.2;0;35
llm_Ministral-3-3B-Instruct;2026-08-19 16:58;0.914;11;18;39;0.250;0.282;0.265;0.434;0.458;0;1;3;0.886;1399.9;1399.7;0;35
llm_Ministral-3-8B-Instruct;2026-08-19 17:00;0.914;10;17;39;0.227;0.256;0.241;0.410;0.458;0;1;3;0.886;2749.5;2749.1;0;35
llm_Qwen3.5-4B;2026-08-19 17:02;1.000;18;29;39;0.439;0.462;0.450;0.725;0.725;2;1;1;0.943;1966.5;1966.3;0;35
llm_Qwen3.5-9B;2026-08-19 17:05;0.914;15;26;39;0.375;0.385;0.380;0.658;0.658;0;0;3;0.914;3170.2;3170.0;0;35
rulebased;2026-08-19 17:08;1.000;9;37;39;0.225;0.231;0.228;0.937;0.937;3;0;0;1.000;2.3;;0;35
llm_gpt-4o-mini;2026-08-19 17:12;0.914;14;33;39;0.359;0.359;0.359;0.846;0.846;1;1;2;0.886;3009.4;3009.2;0;35
llm_gpt-4o;2026-08-19 17:21;0.971;14;35;39;0.368;0.359;0.364;0.909;0.909;2;1;1;0.914;1527.9;1527.6;0;35
llm_gpt-4o_full;2026-09-01 14:48;0.971;14;35;39;0.350;0.359;0.354;0.886;0.886;2;0;1;0.943;1658.3;1658.0;0;35
llm_gpt-4o_trim;2026-09-01 14:54;1.000;14;28;39;0.350;0.359;0.354;0.709;0.709;3;0;0;1.000;1809.8;1809.6;0;35
llm_gpt-4o-mini_full;2026-09-01 14:55;0.971;14;31;39;0.350;0.359;0.354;0.785;0.785;2;1;1;0.914;1342.9;1342.6;0;35
llm_gpt-4o-mini_trim;2026-09-01 15:00;0.914;15;25;39;0.357;0.385;0.370;0.617;0.617;0;0;3;0.857;1538.2;1537.9;0;35
llm_Ministral-3-3B-Instruct_full;2026-09-01 15:06;0.914;13;25;39;0.333;0.333;0.333;0.641;0.641;2;1;1;0.943;1448.4;1448.1;0;35
llm_Ministral-3-3B-Instruct_trim;2026-09-01 15:07;0.914;11;19;39;0.250;0.282;0.265;0.458;0.458;0;1;3;0.886;1382.5;1382.3;0;35
llm_Qwen3.5-4B_full;2026-09-01 15:08;1.000;20;32;39;0.500;0.513;0.506;0.810;0.810;3;1;0;0.971;1782.4;1782.2;0;35
llm_Qwen3.5-4B_trim;2026-09-01 15:10;0.971;17;27;39;0.425;0.436;0.430;0.684;0.684;2;1;1;0.943;1583.6;1583.4;0;35
llm_Ministral-3-8B-Instruct_full;2026-09-01 15:14;0.943;14;31;39;0.341;0.359;0.350;0.775;0.775;3;1;0;0.971;5482.9;5482.6;0;35
llm_Ministral-3-8B-Instruct_trim;2026-09-01 15:17;0.943;11;17;39;0.256;0.282;0.268;0.415;0.488;0;1;3;0.886;3298.9;3298.6;0;35
llm_Qwen3.5-9B_full;2026-09-01 15:19;0.943;17;36;39;0.436;0.436;0.436;0.923;0.923;2;0;1;0.943;3782.6;3782.4;0;35
llm_Qwen3.5-9B_trim;2026-09-01 15:22;0.971;17;26;39;0.405;0.436;0.420;0.642;0.642;1;0;2;0.943;4314.0;4313.9;0;35
