id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;2610.7;2610.5;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;1;1;1;1849.0;1848.8;"SelectionParameter: contenu des filtres/valeurs"
EN-03;en;déictique;executed;executed;1;1;1;1;1;2;0;0;1365.4;1365.3;"SelectionParameter: horodatages seuls"
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;1399.9;1399.7;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;1482.9;1482.7;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;executed;0;0;0;3;1;1;2;0;2134.1;2133.9;"type: attendu [ColorizeCommand] produit [ColorizeCommand,SpeechCommand] | SelectionParameter: horodatages seuls | ColorParameter en trop | SentenceParameter en trop"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2821.9;2814.5;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;995.5;995.3;"SelectionParameter: contenu des filtres/valeurs"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1399.5;1399.3;"SelectionParameter: contenu des filtres/valeurs"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1914.7;1914.5;"SelectionParameter: contenu des filtres/valeurs"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;1948.0;1947.7;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1434.2;1434.0;"SelectionParameter: contenu des filtres/valeurs"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;0;1;1;1496.8;1496.6;"SelectionParameter: contenu des filtres/valeurs"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;316.1;315.9;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;282.6;282.4;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;281.2;281.0;""
FR-11;fr;déictique;executed;executed;1;1;1;1;1;1;1;1;1482.4;1482.2;"SelectionParameter: contenu des filtres/valeurs"
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;1418.0;1417.8;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;946.2;946.1;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;1382.6;1382.4;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;0;2;1;1;1;0;1415.5;1415.3;"SelectionParameter: horodatages seuls | PointParameter en trop"
FR-16;fr;déictique;executed;clarification;0;1;0;1;0;0;1;0;464.8;464.6;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;1451.1;1450.9;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;948.8;948.6;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;949.5;949.3;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;947.4;947.1;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;1;1;1;1885.1;1884.8;"SelectionParameter: contenu des filtres/valeurs"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1016.4;1016.2;"SelectionParameter: contenu des filtres/valeurs"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1499.7;1499.5;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;1396.3;1396.1;"SelectionParameter: contenu des filtres/valeurs"
FR-25;fr;clarification;clarification;executed;0;0;0;3;1;0;3;1;2099.1;2098.9;"type: attendu [ColorizeCommand] produit [ColorizeCommand,SpeechCommand] | SelectionParameter: ordre des filtres (+ horodatages) | ColorParameter en trop | SentenceParameter en trop"
FR-26;fr;clarification;clarification;executed;0;0;0;1;1;0;1;1;563.9;563.6;"type: attendu [MoveCommand] produit [SpeechCommand] | SelectionParameter manquant | SentenceParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;184.7;184.5;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;183.2;183.0;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;1430.1;1429.9;"SelectionParameter: horodatages seuls"
