id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;7379.5;7379.3;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;6867.1;6866.9;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;6507.8;6507.6;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;1;1;1;4023.0;4022.7;"SelectionParameter: contenu des filtres/valeurs"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;0;1;1;2900.0;2899.8;"SelectionParameter: contenu des filtres/valeurs"
EN-06;en;clarification;clarification;not_understood;0;0;0;0;1;0;0;1;1082.9;1082.7;"type: attendu [ColorizeCommand] produit [] | SelectionParameter manquant"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;7715.7;7707.7;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;6279.0;6278.8;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;3266.5;3266.3;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;4647.1;4646.9;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;5515.1;5514.9;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4166.6;4166.4;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;3915.0;3914.8;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;1;0;0;1;0;1166.7;1166.6;"SelectionParameter en trop"
FR-09;fr;descriptif;executed;executed;1;1;0;1;0;0;1;0;1084.0;1083.8;"SelectionParameter en trop"
FR-10;fr;descriptif;executed;executed;1;1;0;1;0;0;1;0;1133.3;1133.1;"SelectionParameter en trop"
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;4110.4;4110.2;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;3836.0;3835.8;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;2750.4;2750.2;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;0;1;1;3148.2;3148.0;"SelectionParameter: contenu des filtres/valeurs"
FR-15;fr;déictique;executed;executed;1;1;1;1;0;1;1;0;4163.1;4162.9;"PointParameter en trop"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;2699.4;2699.2;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;1;1;1;4055.1;4054.9;"SelectionParameter: contenu des filtres/valeurs"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;2844.0;2843.8;"SelectionParameter: contenu des filtres/valeurs"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;3116.1;3115.9;"SelectionParameter: contenu des filtres/valeurs"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;0;1;1;3031.7;3031.5;"SelectionParameter: contenu des filtres/valeurs"
FR-21;fr;quantifié;executed;executed;1;1;2;0;0;2;0;0;4750.8;4750.6;""
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;3170.2;3170.0;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;0;1;1;3128.8;3128.6;"SelectionParameter: contenu des filtres/valeurs"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;2880.6;2880.4;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;not_understood;0;0;0;0;1;0;0;1;772.0;771.8;"type: attendu [ColorizeCommand] produit [] | SelectionParameter manquant"
FR-26;fr;clarification;clarification;not_understood;0;0;0;0;1;0;0;1;759.8;759.6;"type: attendu [MoveCommand] produit [] | SelectionParameter manquant"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;1082.1;1081.9;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;775.5;775.3;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;3941.1;3940.9;"SelectionParameter: horodatages seuls"
