id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;0;1;1;4815.3;4815.0;"SelectionParameter: contenu des filtres/valeurs"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;2534.7;2534.4;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;2;0;0;2;0;0;2764.6;2764.3;""
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;2519.7;2519.5;"SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;1;0;0;3379.1;3378.9;"SelectionParameter: horodatages seuls"
EN-06;en;clarification;clarification;not_understood;0;0;0;0;1;0;0;1;1465.3;1465.1;"type: attendu [ColorizeCommand] produit [] | SelectionParameter manquant"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;5474.6;5466.7;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;3378.0;3377.7;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4155.4;4155.1;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;4672.6;4672.3;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;3691.9;3691.6;"SelectionParameter: contenu des filtres/valeurs"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2906.8;2906.6;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;0;0;1;1;1;0;0;3016.6;3016.3;"type: attendu [ShowCommand] produit [ScaleUpCommand] | SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1473.5;1473.3;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1166.0;1165.8;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;1204.1;1203.8;""
FR-11;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;3492.9;3492.6;""
FR-12;fr;déictique;executed;executed;1;1;2;0;0;2;0;0;3502.4;3502.0;""
FR-13;fr;déictique;executed;executed;1;1;1;0;1;1;0;1;3204.4;3204.2;"PointParameter manquant"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;0;1;1;2119.7;2119.4;"SelectionParameter: contenu des filtres/valeurs"
FR-15;fr;déictique;executed;executed;1;1;1;1;0;1;1;0;3020.3;3020.0;"PointParameter en trop"
FR-16;fr;déictique;executed;clarification;0;1;0;1;0;0;1;0;1466.1;1465.7;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;5870.1;5869.8;"SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;2428.4;2428.0;"SelectionParameter: horodatages seuls"
FR-19;fr;anaphorique;executed;not_understood;0;0;0;0;1;0;0;1;1889.1;1888.8;"type: attendu [ScaleUpCommand] produit [Unknown,Unknown] | SelectionParameter manquant"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;2265.1;2264.9;"SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;3801.6;3801.4;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;3009.4;3009.2;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;3631.6;3631.3;"SelectionParameter: horodatages seuls"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;2320.0;2319.8;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;6659.4;6659.1;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;executed;0;1;0;2;1;1;1;0;3175.3;3175.1;"SelectionParameter: horodatages seuls | PointParameter en trop"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;586.8;586.5;"JSON produit non désérialisable"
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;742.1;741.8;"JSON produit non désérialisable"
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;2917.1;2916.7;"SelectionParameter: horodatages seuls"
